,artist,track,timeInS,date.entered,date.peaked,week,chart pos
83,Lil' Zane,Callin' Me,223,2000-07-29,2000-09-02,1,83.0
84,M2M,Don't Say You Love Me,221,1999-11-20,2000-01-08,1,72.0
85,SoulDecision,Faded,205,2000-07-08,2000-09-09,1,94.0
86,"Brock, Chad",Yes!,202,2000-04-08,2000-07-01,1,90.0
87,"Martin, Ricky",Shake Your Bon-Bon,188,1999-11-20,2000-02-12,1,74.0
88,Vertical Horizon,You're A God,225,2000-08-26,2000-11-04,1,64.0
89,Avant,Separated,253,2000-04-29,2000-05-20,1,62.0
90,"Rimes, LeAnn",Big Deal,183,1999-10-16,2000-01-01,1,71.0
91,IMx,Stay The Night,217,1999-10-09,2000-01-08,1,84.0
92,Dr. Dre,The Next Episode,158,2000-05-27,2000-07-29,1,78.0
93,"Spears, Britney",Lucky,203,2000-08-12,2000-09-09,1,61.0
94,Savage Garden,Crash And Burn,281,2000-04-08,2000-05-27,1,75.0
95,Kandi,Don't Think I'm Not,230,2000-08-05,2000-10-07,1,66.0
96,Sammie,I Like It,249,2000-01-29,2000-04-15,1,85.0
97,Goo Goo Dolls,Broadway,234,2000-04-22,2000-07-01,1,74.0
98,"Moore, Mandy",I Wanna Be With You,252,2000-06-17,2000-08-12,1,69.0
99,Dr. Dre,Forgot About Dre,222,2000-01-22,2000-03-25,1,75.0
100,D'Angelo,Untitled (How Does It Feel),430,2000-01-22,2000-02-19,1,77.0
101,"Messina, Jo Dee",That's The Way,197,2000-06-24,2000-08-26,1,78.0
102,Avant,My First Love,268,2000-11-04,2000-12-16,1,70.0
103,Son By Four,A Puro Dolor (Purest Of Pain),210,2000-04-08,2000-08-19,1,80.0
104,Da Brat,What'Chu Like,237,2000-06-03,2000-08-12,1,71.0
105,DMX,Party Up (Up In Here),225,2000-02-26,2000-04-22,1,88.0
106,"Dixie Chicks, The",Cowboy Take Me Away,291,1999-11-27,2000-01-29,1,79.0
107,"McGraw, Tim",My Next Thirty Years,217,2000-10-21,2000-12-16,1,73.0
108,"Tritt, Travis",Best Of Intentions,255,2000-08-19,2000-12-02,1,97.0
109,Alice Deejay,Better Off Alone,410,2000-04-08,2000-06-03,1,79.0
110,Hoku,Another Dumb Blonde,227,2000-02-19,2000-04-08,1,69.0
111,"Houston, Whitney",I Learned From The Best,258,2000-02-19,2000-03-25,1,83.0
112,Counting Crows,Hanginaround,247,1999-11-06,2000-01-29,1,84.0
113,Mary Mary,Shackles (Praise You),192,2000-03-25,2000-05-13,1,90.0
114,"Carey, Mariah",Crybaby,319,2000-06-24,2000-06-24,1,28.0
115,"McGraw, Tim",My Best Friend,273,1999-11-27,2000-01-29,1,85.0
116,Sugar Ray,Falls Apart,255,2000-01-15,2000-02-19,1,70.0
117,Madonna,American Pie,270,2000-02-19,2000-03-04,1,43.0
118,"Jones, Donell",Where I Wanna Be,382,2000-04-22,2000-07-08,1,81.0
119,"Paisley, Brad",We Danced,225,2000-10-14,2000-12-16,1,71.0
120,Lonestar,What About Now,210,2000-06-10,2000-08-19,1,78.0
121,"Backstreet Boys, The",The One,226,2000-05-27,2000-07-01,1,58.0
122,"Keith, Toby",How Do You Like Me Now?!,209,2000-01-29,2000-04-08,1,77.0
123,"Strait, George",The Best Day,204,2000-01-29,2000-04-22,1,73.0
124,"Dixie Chicks, The",Without You,212,2000-10-07,2000-12-23,1,80.0
125,Musiq,Just Friends (Sunny),242,2000-10-14,2000-12-30,1,89.0
126,"McEntire, Reba",What Do You Say,206,1999-10-30,2000-01-29,1,88.0
127,"Braxton, Toni",Just Be A Man About It,250,2000-07-29,2000-09-02,1,76.0
128,"Iglesias, Enrique",Rhythm Divine,455,1999-12-04,2000-01-22,1,90.0
129,"Fabian, Lara",I Will Love Again,223,2000-06-10,2000-08-12,1,91.0
130,Bon Jovi,It's My Life,224,2000-08-12,2000-09-30,1,64.0
131,"Evans, Sara",Born To Fly,336,2000-10-21,2000-12-30,1,77.0
132,"Chesney, Kenny",I Lost It,234,2000-10-21,2000-12-23,1,75.0
133,J-Shin,One Night Stand,274,1999-12-25,2000-02-26,1,96.0
134,Eve,Love Is Blind,231,2000-01-08,2000-02-19,1,94.0
135,Aaliyah,I Don't Wanna,255,2000-01-29,2000-03-04,1,84.0
136,"Montgomery, John Michael",The Little Girl,232,2000-09-09,2000-10-28,1,81.0
137,"Carter, Aaron",Aaron's Party (Come Get It),203,2000-08-26,2000-09-16,1,99.0
138,"Vassar, Phil",Just Another Day In Paradise,234,2000-09-30,2000-12-02,1,81.0
139,Ice Cube,You Can Do It,260,1999-12-04,2000-01-15,1,86.0
140,"Wills, Mark",Back At One,240,2000-01-15,2000-02-26,1,89.0
141,Lucy Pearl,Dance Tonight,225,2000-05-20,2000-07-29,1,80.0
142,"Jackson, Alan",It Must Be Love,173,2000-06-24,2000-09-02,1,76.0
143,"Griggs, Andy",She's More,199,2000-03-11,2000-06-10,1,81.0
144,No Doubt,Simple Kind Of Life,251,2000-07-01,2000-07-22,1,50.0
145,"Jean, Wyclef",911,240,2000-10-07,2000-11-25,1,77.0
146,Rascal Flatts,Prayin' For Daylight,216,2000-05-06,2000-08-12,1,87.0
147,Vitamin C,Graduation (Friends Forever),263,2000-04-15,2000-06-10,1,81.0
148,"Gilman, Billy",One Voice,247,2000-06-17,2000-09-02,1,86.0
149,Lonestar,Smile,213,1999-12-18,2000-02-12,1,89.0
150,"Rogers, Kenny",Buy Me A Rose,226,2000-03-11,2000-05-06,1,79.0
151,"Lawrence, Tracy",Lessons Learned,175,2000-01-29,2000-04-08,1,80.0
152,"Strait, George",Go On,228,2000-08-26,2000-10-28,1,71.0
153,Sisqo,Got To Get It,232,1999-11-20,2000-01-22,1,92.0
154,Baha Men,Who Let The Dogs Out,197,2000-07-22,2000-10-21,1,99.0
155,"Walker, Clay",The Chain Of Love,303,2000-04-15,2000-06-10,1,73.0
156,"McBride, Martina",Love's The Only House,313,2000-02-05,2000-04-15,1,79.0
157,Amber,Sexual (Li Da Di),278,1999-07-17,2000-02-12,1,99.0
158,"Tippin, Aaron",Kiss This,173,2000-08-26,2000-10-21,1,74.0
159,SheDaisy,I Will.. But,220,2000-07-15,2000-09-16,1,78.0
160,"Raye, Collin",Couldn't Last A Moment,220,2000-03-18,2000-06-24,1,91.0
161,Black Rob,Whoa!,244,2000-03-04,2000-04-15,1,78.0
162,"Jackson, Alan",Pop A Top,184,1999-11-13,2000-01-22,1,79.0
163,"Black, Clint",Been There,328,2000-02-19,2000-04-15,1,87.0
164,Common,The Light,235,2000-08-05,2000-09-09,1,75.0
165,"Vassar, Phil",Carlene,247,2000-03-04,2000-04-22,1,75.0
166,"Jackson, Alan",www.memory,156,2000-11-04,2000-12-23,1,75.0
167,Vitamin C,The Itch,210,2000-12-02,2000-12-16,1,86.0
168,"Eastsidaz, The",G'D Up,267,2000-01-08,2000-02-12,1,77.0
169,Ideal,Whatever,228,2000-06-10,2000-08-19,1,75.0
170,"Thomas, Carl",Emotional,271,2000-11-25,2000-12-30,1,77.0
171,Ginuwine,None Of Ur Friends Business,252,1999-12-11,2000-01-22,1,94.0
172,"Davidson, Clay",Unconditional,236,2000-03-25,2000-06-17,1,97.0
173,DMX,What You Want,245,2000-07-01,2000-09-23,1,98.0
174,"John, Elton",Someday Out Of The Blue,281,2000-04-22,2000-05-06,1,56.0
175,Pearl Jam,Nothing As It Seems,320,2000-05-13,2000-05-13,1,49.0
176,Mya,The Best Of Me,252,2000-04-15,2000-05-20,1,85.0
177,"Heatherly, Eric",Flowers On The Wall,196,2000-04-29,2000-08-12,1,95.0
178,Eminem,Stan,326,2000-11-04,2000-12-02,1,78.0
179,"McEntire, Reba",I'll Be,263,2000-05-13,2000-07-29,1,89.0
180,"Lopez, Jennifer",Feelin' Good,268,2000-02-19,2000-04-08,1,79.0
181,"Urban, Keith",Your Everything,250,2000-07-15,2000-09-16,1,81.0
182,TLC,Dear Lie,276,2000-02-12,2000-03-04,1,63.0
183,"Gill, Vince",Feels Like Love,253,2000-09-02,2000-11-18,1,82.0
184,"Houston, Whitney",Could I Have This Kiss Forever,234,2000-06-17,2000-08-05,1,74.0
185,Bloodhound Gang,The Bad Touch,260,2000-03-18,2000-04-15,1,70.0
186,"Williams, Robbie",Angels,236,1999-11-20,2000-01-22,1,85.0
187,"Messina, Jo Dee",Because You Love Me,230,2000-01-29,2000-03-11,1,83.0
188,"Keith, Toby",Country Comes To Town,219,2000-08-05,2000-10-14,1,82.0
189,Beenie Man,Girls Dem Sugar,257,2000-10-21,2000-12-02,1,72.0
190,"Hill, Faith",Let's Make Love,251,2000-08-12,2000-10-21,1,83.0
191,Kelis,Caught Out There,249,1999-12-04,2000-01-08,1,84.0
192,Jay-Z,Anything,221,2000-02-26,2000-03-11,1,72.0
193,3 Doors Down,Loser,264,2000-10-21,2000-12-02,1,76.0
194,Brooks & Dunn,You'll Always Be Loved By Me,178,2000-06-10,2000-09-09,1,95.0
195,"Chesney, Kenny",What I Need To Do,245,2000-04-01,2000-06-10,1,79.0
196,"Stone, Angie",No More Rain (In This Cloud),282,1999-12-25,2000-01-22,1,86.0
197,Da Brat,That's What I'm Looking For,224,2000-02-26,2000-04-15,1,93.0
198,SheDaisy,This Woman Needs,200,2000-02-05,2000-03-04,1,82.0
199,Papa Roach,Last Resort,199,2000-07-29,2000-12-02,1,75.0
200,"Adams, Yolanda",Open My Heart,330,2000-08-26,2000-10-21,1,76.0
201,Shyne,Bad Boyz,262,2000-09-09,2000-10-28,1,94.0
202,R.E.M.,The Great Beyond,250,1999-12-25,2000-01-29,1,79.0
203,"Diffie, Joe",It's Always Somethin',175,2000-08-12,2000-09-16,1,81.0
204,"McGraw, Tim",Some Things Never Change,236,2000-05-13,2000-07-01,1,76.0
205,"Henley, Don",Taking You Home,248,2000-06-24,2000-08-05,1,79.0
206,Eminem,The Way I Am,280,2000-08-26,2000-09-30,1,87.0
207,Nas,You Owe Me,231,2000-03-25,2000-04-15,1,74.0
208,Sister Hazel,Change Your Mind,242,2000-07-15,2000-08-05,1,75.0
209,Puff Daddy,Best Friend,333,2000-02-12,2000-02-19,1,65.0
210,"McBride, Martina",There You Are,206,2000-09-09,2000-10-21,1,79.0
211,Usher,Pop Ya Collar,216,2000-11-04,2000-11-18,1,68.0
212,Lil' Kim,No Matter What They Say,252,2000-07-15,2000-08-05,1,80.0
213,LFO,I Don't Wanna Kiss You Goodnight,300,2000-04-15,2000-04-22,1,63.0
214,SheDaisy,Deck The Halls,226,1999-12-25,2000-01-01,1,97.0
215,Splender,I Think God Can Explain,235,2000-06-10,2000-06-24,1,71.0
216,"Simpson, Jessica",Where You Are,231,2000-04-01,2000-04-15,1,73.0
217,M2M,Mirror Mirror,199,2000-04-01,2000-05-27,1,87.0
218,Kumbia Kings,U Don't Love Me,230,2000-03-04,2000-03-18,1,81.0
219,Joe,Treat Her Like A Lady,252,2000-08-05,2000-08-19,1,77.0
220,"Blige, Mary J.",Deep Inside,326,1999-11-13,2000-01-22,1,83.0
221,"Price, Kelly",You Should've Told Me,192,2000-09-23,2000-12-02,1,91.0
222,Changing Faces,That Other Woman,240,2000-09-30,2000-10-28,1,80.0
223,"Wright, Chely",It Was,231,2000-03-04,2000-04-15,1,86.0
224,Limp Bizkit,Rollin',244,2000-11-11,2000-12-09,1,77.0
225,Hot Boys,I Need A Hot Girl,256,2000-02-19,2000-03-11,1,77.0
226,Jay-Z,Do It Again (Put Ya Hands Up),227,2000-01-15,2000-01-29,1,95.0
227,"Adkins, Trace",More,185,2000-04-29,2000-06-17,1,84.0
228,"Dixie Chicks, The",Cold Day In July,312,2000-06-24,2000-08-05,1,80.0
229,"Price, Kelly",As We Lay,380,2000-07-15,2000-08-05,1,82.0
230,DMX,What's My Name,230,2000-01-15,2000-02-12,1,98.0
231,"Martin, Ricky",Private Emotion,242,2000-03-11,2000-03-18,1,76.0
232,Nine Days,If I Am,258,2000-12-02,2000-12-02,1,68.0
233,"Blige, Mary J.",Give Me You,300,2000-04-15,2000-05-13,1,97.0
234,Red Hot Chili Peppers,Californication,321,2000-07-29,2000-10-14,1,72.0
235,Third Eye Blind,Deep Inside Of You,250,2000-09-02,2000-10-07,1,80.0
236,"Brooks, Garth",Do What You Gotta Do,176,2000-02-19,2000-03-18,1,86.0
237,"Offspring, The",Original Prankster,222,2000-11-25,2000-12-09,1,74.0
238,"Anthony, Marc",My Baby You,239,2000-09-16,2000-10-07,1,82.0
239,"Houston, Whitney","Same Script, Different Cast",285,2000-06-17,2000-07-15,1,71.0
240,D'Angelo,Left & Right,275,1999-12-11,2000-01-01,1,93.0
241,"Kravitz, Lenny",I Belong To You,257,2000-03-25,2000-04-08,1,78.0
242,"Loveless, Patty",That's The Kind Of Mood I'm In,207,2000-09-16,2000-11-18,1,98.0
243,Q-Tip,Breathe And Stop,246,2000-01-22,2000-01-22,1,71.0
244,"Rimes, LeAnn",Can't Fight The Moonlight,213,2000-09-09,2000-09-16,1,82.0
245,Lil Wayne,Tha Block Is Hot,253,1999-12-04,2000-01-08,1,99.0
246,2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,2000-02-26,2000-03-11,1,87.0
247,"Wallflowers, The",Sleepwalker,209,2000-10-28,2000-10-28,1,73.0
248,Drama,"Left, Right, Left",217,2000-02-12,2000-03-18,1,100.0
249,Limp Bizkit,N 2 Gether Now,235,1999-12-04,2000-01-08,1,94.0
250,Lox,"Ryde or Die, Chick",236,2000-03-18,2000-03-25,1,86.0
251,Ying Yang Twins,Whistle While You Twurk,259,2000-03-18,2000-04-29,1,95.0
252,"Walker, Clay","Live, Laugh, Love",246,1999-12-04,2000-01-22,1,95.0
253,Metallica,No Leaf Clover (Live),343,2000-02-12,2000-03-11,1,86.0
254,Yankee Grey,Another Nine Minutes,190,2000-04-29,2000-05-20,1,86.0
255,"Bega, Lou",Tricky Tricky ,203,2000-01-29,2000-02-05,1,75.0
256,Big Punisher,It's So Hard,205,2000-04-22,2000-05-06,1,96.0
257,"Worley, Darryl",When You Need My Love,215,2000-06-17,2000-09-02,1,98.0
258,Lil' Kim,How Many Licks?,230,2000-11-25,2000-12-02,1,79.0
259,"Clark, Terri",A Little Gasoline,187,2000-12-16,2000-12-16,1,75.0
260,"Brock, Chad",A Country Boy Can Survive,234,2000-01-01,2000-01-08,1,93.0
261,"Cagle, Chris",My Love Goes On And On,182,2000-10-21,2000-12-02,1,99.0
262,"Byrd, Tracy",Put Your Hand In Mine,270,2000-01-29,2000-02-12,1,81.0
263,Metallica,I Disappear,266,2000-05-13,2000-06-17,1,86.0
264,Jay-Z,Hey Papi,220,2000-08-12,2000-10-07,1,98.0
265,Fatboy Slim,The Rockafeller Skank,240,1999-11-13,2000-01-22,1,94.0
266,"Levert, Gerald",Mr. Too Damn Good,246,2000-03-18,2000-04-08,1,84.0
267,"McKnight, Brian",Stay Or Let It Go,272,2000-02-26,2000-03-25,1,95.0
268,"Allan, Gary",Smoke Rings In The Dark,258,2000-01-22,2000-02-05,1,80.0
269,Ginuwine,The Best Man I Can Be,246,2000-01-08,2000-03-04,1,97.0
270,Before Dark,Monica,244,2000-05-20,2000-06-17,1,95.0
271,"Estefan, Gloria",No Me Dejes De Querer,205,2000-06-10,2000-06-10,1,77.0
272,Stone Temple Pilots,Sour Girl,256,2000-07-08,2000-07-29,1,79.0
273,Montgomery Gentry,Daddy Won't Sell The Farm,258,2000-03-04,2000-03-25,1,87.0
274,"Cyrus, Billy Ray",You Won't Be Lonely Now,225,2000-09-23,2000-11-11,1,97.0
275,Clark Family Experience,Meanwhile Back At The Ranch,176,2000-11-18,2000-12-16,1,87.0
276,"Thomas, Carl",Summer Rain,297,2000-09-23,2000-10-14,1,82.0
277,"Yearwood, Trisha",Real Live Woman,235,2000-04-01,2000-04-29,1,85.0
278,Trick Daddy,Shut Up,257,2000-05-20,2000-06-17,1,99.0
279,"Moore, Chante",Straight Up,220,2000-10-28,2000-12-02,1,98.0
280,Cam'ron,What Means The World To You,278,2000-10-14,2000-11-18,1,94.0
281,Juvenile,U Understand,231,2000-02-05,2000-02-12,1,85.0
282,"Hollister, Dave",Can't Stay,377,2000-03-25,2000-03-25,1,84.0
283,Tamia,Can't Go For That,218,2000-09-16,2000-09-30,1,90.0
284,LFO,West Side Story,207,2000-08-05,2000-08-12,1,96.0
285,"Paisley, Brad",Me Neither,199,2000-05-13,2000-05-20,1,87.0
286,"Carter, Torrey",Take That,223,2000-06-24,2000-07-08,1,94.0
287,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),195,2000-09-02,2000-09-09,1,91.0
288,Madison Avenue,Don't Call Me Baby,224,2000-07-08,2000-09-16,1,98.0
289,Eve,Got It All,228,2000-07-15,2000-07-22,1,89.0
290,Limp Bizkit,Re-Arranged,248,1999-12-04,2000-02-05,1,91.0
291,"Spencer, Tracie",Still In My Heart,251,2000-03-04,2000-03-11,1,95.0
292,Nu Flavor,3 Little Words,234,2000-06-03,2000-06-17,1,97.0
293,Tamar,If You Don't Wanna Love Me,242,2000-03-25,2000-04-15,1,98.0
294,"Levert, Gerald",Baby U Are,250,2000-08-19,2000-08-26,1,96.0
295,"Hart, Beth",L.A. Song,227,1999-11-27,2000-01-15,1,99.0
296,"Diffie, Joe",The Quittin' Kind,203,2000-01-01,2000-01-22,1,98.0
297,Funkmaster Flex,Do You,254,2000-11-11,2000-12-02,1,92.0
298,"Price, Kelly",Love Sets You Free,226,2000-05-13,2000-05-20,1,92.0
299,En Vogue,Riddle,310,2000-06-17,2000-06-17,1,92.0
300,"Herndon, Ty",No Mercy,283,2000-03-18,2000-05-06,1,100.0
301,Anastacia,I'm Outta Love,241,2000-04-01,2000-04-01,1,92.0
302,Trina,Pull Over,178,2000-09-09,2000-09-16,1,97.0
303,Lil' Mo,Ta Da,257,2000-08-12,2000-09-16,1,100.0
304,A*Teens,Dancing Queen,224,2000-07-08,2000-07-29,1,97.0
305,"Sheist, Shade",Where I Wanna Be,256,2000-11-11,2000-11-18,1,96.0
306,De La Soul,All Good?,302,2000-12-23,2000-12-23,1,96.0
307,"Larrieux, Amel",Get Up,242,2000-03-04,2000-03-11,1,100.0
308,"Braxton, Toni",Spanish Guitar,264,2000-12-02,2000-12-02,1,98.0
309,Tuesday,I Know,246,2000-12-30,2000-12-30,1,98.0
310,LL Cool J,Imagine That,240,2000-08-12,2000-08-19,1,99.0
311,Master P,Souljas,213,2000-11-18,2000-11-18,1,98.0
312,Ghostface Killah,Cherchez LaGhost,184,2000-08-05,2000-08-05,1,98.0
313,"Smith, Will",Freakin' It,238,2000-02-12,2000-02-12,1,99.0
314,Zombie Nation,Kernkraft 400,210,2000-09-02,2000-09-02,1,99.0
315,"Eastsidaz, The",Got Beef,238,2000-07-01,2000-07-01,1,99.0
316,Fragma,Toca's Miracle,202,2000-10-28,2000-10-28,1,99.0
317,Destiny's Child,Independent Women Part I,218,2000-09-23,2000-11-18,2,63.0
318,Santana,"Maria, Maria",258,2000-02-12,2000-04-08,2,8.0
319,Savage Garden,I Knew I Loved You,247,1999-10-23,2000-01-29,2,48.0
320,Madonna,Music,225,2000-08-12,2000-09-16,2,23.0
321,"Aguilera, Christina",Come On Over Baby (All I Want Is You),218,2000-08-05,2000-10-14,2,47.0
322,Janet,Doesn't Really Matter,257,2000-06-17,2000-08-26,2,52.0
323,Destiny's Child,Say My Name,271,1999-12-25,2000-03-18,2,83.0
324,"Iglesias, Enrique",Be With You,216,2000-04-01,2000-06-24,2,45.0
325,Sisqo,Incomplete,232,2000-06-24,2000-08-12,2,66.0
326,Lonestar,Amazed,265,1999-06-05,2000-03-04,2,54.0
327,N'Sync,It's Gonna Be Me,190,2000-05-06,2000-07-29,2,70.0
328,"Aguilera, Christina",What A Girl Wants,198,1999-11-27,2000-01-15,2,51.0
329,Vertical Horizon,Everything You Want,241,2000-01-22,2000-07-15,2,61.0
330,Creed,With Arms Wide Open,232,2000-05-13,2000-11-11,2,78.0
331,Aaliyah,Try Again,243,2000-03-18,2000-06-17,2,53.0
332,matchbox twenty,Bent,252,2000-04-29,2000-07-22,2,37.0
333,"Carey, Mariah",Thank God I Found You,254,1999-12-11,2000-02-19,2,68.0
334,"Hill, Faith",Breathe,244,1999-11-06,2000-04-22,2,68.0
335,Mya,Case Of The Ex (Whatcha Gonna Do),230,2000-08-19,2000-12-02,2,57.0
336,Dream,He Loves U Not,223,2000-09-30,2000-12-30,2,92.0
337,"Braxton, Toni",He Wasn't Man Enough,261,2000-03-18,2000-05-06,2,55.0
338,"Anthony, Marc",You Sang To Me,230,2000-02-26,2000-06-03,2,54.0
339,98¡,Give Me Just One Night (Una Noche),204,2000-08-19,2000-09-30,2,39.0
340,Destiny's Child,Jumpin' Jumpin',228,2000-05-13,2000-08-19,2,71.0
341,3 Doors Down,Kryptonite,233,2000-04-08,2000-11-11,2,70.0
342,Sisqo,Thong Song,245,2000-01-29,2000-05-20,2,63.0
343,"Aguilera, Christina",I Turn To You,240,2000-04-15,2000-07-01,2,39.0
344,"Houston, Whitney",My Love Is Your Love,256,1999-09-04,2000-01-08,2,68.0
